Month,Log_Count_License,Log_Sum_Incentive,Log_HPI,Log_Emp,Log_Elec,Log_Sum_Incentive_lag3,Log_HPI_lag3,Log_Emp_lag3,Log_Elec_lag3,Log_Sum_Incentive_lag6,Log_HPI_lag6,Log_Emp_lag6,Log_Elec_lag6
2010-04,6.8308742346461795,13.572327831878736,4.822472464756306,2.3978952727983707,-1.987774353154012,13.260970618585983,4.8429160343523465,2.501435951739211,-1.995100393246085,,,,
2010-05,6.785587645007929,13.425011281043297,4.820622581541081,2.3513752571634776,-1.9805015938249322,13.165423230849385,4.838037844627027,2.4849066497880004,-1.973281345851445,,,,
2010-06,7.179307969504034,13.02317729398055,4.8204424979255105,2.379546134130174,-1.870802676568508,13.5922608260131,4.828490714047641,2.451005098112319,-1.973281345851445,,,,
2010-07,7.068172000388042,13.739023895892604,4.813334593447934,2.3702437414678603,-1.8388510767619055,13.572327831878736,4.822472464756306,2.3978952727983707,-1.987774353154012,13.260970618585983,4.8429160343523465,2.501435951739211,-1.995100393246085
2010-08,7.072421900537371,13.725222031526984,4.806030542122648,2.33214389523559,-1.8451602459551701,13.425011281043297,4.820622581541081,2.3513752571634776,-1.9805015938249322,13.165423230849385,4.838037844627027,2.4849066497880004,-1.973281345851445
2010-09,6.899723107284872,13.408242014643962,4.792257520432305,2.2823823856765264,-1.8451602459551701,13.02317729398055,4.8204424979255105,2.379546134130174,-1.870802676568508,13.5922608260131,4.828490714047641,2.451005098112319,-1.973281345851445
2010-10,6.734591659972948,14.011197983901715,4.780999700474416,2.2617630984737906,-1.9310215365615626,13.739023895892604,4.813334593447934,2.3702437414678603,-1.8388510767619055,13.572327831878736,4.822472464756306,2.3978952727983707,-1.987774353154012
2010-11,6.61472560020376,13.532730636976579,4.773991748237644,2.272125885509337,-1.9310215365615626,13.725222031526984,4.806030542122648,2.33214389523559,-1.8451602459551701,13.425011281043297,4.820622581541081,2.3513752571634776,-1.9805015938249322
2010-12,6.597145701886651,13.729429068495202,4.771645904532949,2.2512917986064953,-1.9379419794061366,13.408242014643962,4.792257520432305,2.2823823856765264,-1.8451602459551701,13.02317729398055,4.8204424979255105,2.379546134130174,-1.870802676568508
2011-01,6.61338421837956,13.47155193213105,4.768895655598886,2.341805806147327,-1.9519282213808764,14.011197983901715,4.780999700474416,2.2617630984737906,-1.9310215365615626,13.739023895892604,4.813334593447934,2.3702437414678603,-1.8388510767619055
2011-02,6.490723534502507,14.16756674585225,4.763417544591059,2.312535423847214,-1.903808973036678,13.532730636976579,4.773991748237644,2.272125885509337,-1.9310215365615626,13.725222031526984,4.806030542122648,2.33214389523559,-1.8451602459551701
2011-03,6.951772164398911,13.703338082389116,4.750784243574313,2.2925347571405443,-1.8773173575897015,13.729429068495202,4.771645904532949,2.2512917986064953,-1.9379419794061366,13.408242014643962,4.792257520432305,2.2823823856765264,-1.8451602459551701
2011-04,6.779921907472252,13.846277911167213,4.733283168882664,2.272125885509337,-1.8838747581358606,13.47155193213105,4.768895655598886,2.341805806147327,-1.9519282213808764,14.011197983901715,4.780999700474416,2.2617630984737906,-1.9310215365615626
2011-05,6.910750787961936,13.223973958839183,4.734523170896068,2.2823823856765264,-1.9105430052180221,14.16756674585225,4.763417544591059,2.312535423847214,-1.903808973036678,13.532730636976579,4.773991748237644,2.272125885509337,-1.9310215365615626
2011-06,7.215239978730097,13.423644092765702,4.73944548986128,2.3608540011180215,-1.8773173575897015,13.703338082389116,4.750784243574313,2.2925347571405443,-1.8773173575897015,13.729429068495202,4.771645904532949,2.2512917986064953,-1.9379419794061366
2011-07,7.191429330036379,14.143637922792966,4.7404556183080215,2.3608540011180215,-1.851509473633829,13.846277911167213,4.733283168882664,2.272125885509337,-1.8838747581358606,13.47155193213105,4.768895655598886,2.341805806147327,-1.9519282213808764
2011-08,7.236339342754344,13.554313948522243,4.743729126655662,2.341805806147327,-1.851509473633829,13.223973958839183,4.734523170896068,2.2823823856765264,-1.9105430052180221,14.16756674585225,4.763417544591059,2.312535423847214,-1.903808973036678
2011-09,6.9865664594064265,14.165750899178729,4.739408082409629,2.302585092994046,-1.8578992717326,13.423644092765702,4.73944548986128,2.3608540011180215,-1.8773173575897015,13.703338082389116,4.750784243574313,2.2925347571405443,-1.8773173575897015
2011-10,6.78105762593618,14.264522431430715,4.733205911790227,2.2925347571405443,-1.870802676568508,14.143637922792966,4.7404556183080215,2.3608540011180215,-1.851509473633829,13.846277911167213,4.733283168882664,2.272125885509337,-1.8838747581358606
2011-11,6.656726524178391,14.100049934817337,4.716191563908377,2.2407096892759584,-1.8971199848858813,13.554313948522243,4.743729126655662,2.341805806147327,-1.851509473633829,13.223973958839183,4.734523170896068,2.2823823856765264,-1.9105430052180221
2011-12,6.530877627725885,12.597626100431082,4.7078233099174795,2.2300144001592104,-1.9173226922034008,14.165750899178729,4.739408082409629,2.302585092994046,-1.8578992717326,13.423644092765702,4.73944548986128,2.3608540011180215,-1.8773173575897015
2012-01,6.5638555265321274,13.887724879006225,4.702144294557367,2.2925347571405443,-1.8773173575897015,14.264522431430715,4.733205911790227,2.2925347571405443,-1.870802676568508,14.143637922792966,4.7404556183080215,2.3608540011180215,-1.851509473633829
2012-02,6.7650389767805414,13.315007819406835,4.692175354224596,2.272125885509337,-1.8773173575897015,14.100049934817337,4.716191563908377,2.2407096892759584,-1.8971199848858813,13.554313948522243,4.743729126655662,2.341805806147327,-1.851509473633829
2012-03,6.818924065275521,14.133179566723285,4.675629487903254,2.2300144001592104,-1.8773173575897015,12.597626100431082,4.7078233099174795,2.2300144001592104,-1.9173226922034008,14.165750899178729,4.739408082409629,2.302585092994046,-1.8578992717326
2012-04,6.816735880594968,13.40714900921888,4.673142092102178,2.186051276738094,-1.8773173575897015,13.887724879006225,4.702144294557367,2.2925347571405443,-1.8773173575897015,14.264522431430715,4.733205911790227,2.2925347571405443,-1.870802676568508
2012-05,6.9782137426306985,14.155888365049394,4.700261099311996,2.174751721484161,-1.8773173575897015,13.315007819406835,4.692175354224596,2.272125885509337,-1.8773173575897015,14.100049934817337,4.716191563908377,2.2407096892759584,-1.8971199848858813
2012-06,7.330405211844402,13.7916124391801,4.718727017988819,2.2617630984737906,-1.9105430052180221,14.133179566723285,4.675629487903254,2.2300144001592104,-1.8773173575897015,12.597626100431082,4.7078233099174795,2.2300144001592104,-1.9173226922034008
2012-07,7.112327444710911,13.574900679577903,4.728429221264886,2.2617630984737906,-1.9519282213808764,13.40714900921888,4.673142092102178,2.186051276738094,-1.8773173575897015,13.887724879006225,4.702144294557367,2.2925347571405443,-1.8773173575897015
2012-08,7.236339342754344,13.772517197317269,4.727156233085379,2.2192034840549946,-1.9519282213808764,14.155888365049394,4.700261099311996,2.174751721484161,-1.8773173575897015,13.315007819406835,4.692175354224596,2.272125885509337,-1.8773173575897015
2012-09,6.940222469119639,12.953646338070914,4.725768446376145,2.1400661634962708,-1.9519282213808764,13.7916124391801,4.718727017988819,2.2617630984737906,-1.9105430052180221,14.133179566723285,4.675629487903254,2.2300144001592104,-1.8773173575897015
2012-10,6.587550014824796,13.730069296788342,4.723384599860756,2.163323025660538,-1.8643301620628905,13.574900679577903,4.728429221264886,2.2617630984737906,-1.9519282213808764,13.40714900921888,4.673142092102178,2.186051276738094,-1.8773173575897015
